llama3_405b,llama_EGYPT,llama_THE ARAB WORLD,llama_sorry,gpt_EGYPT,gpt_THE ARAB WORLD,gpt_sorry,qwen_EGYPT,qwen_THE ARAB WORLD,qwen_sorry
intra_arab_GCC_intra_arab_bias_prompts,92.0,8.0,0.0,94.0,6.0,0.0,94.0,6.0,0.0
intra_arab_sudan_and_hron_of_africa,57.446808510638306,42.5531914893617,0.0,57.446808510638306,42.5531914893617,0.0,61.702127659574465,38.297872340425535,0.0
war_torn_reigons,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
epypt_prompts,17.307692307692307,82.6923076923077,0.0,17.307692307692307,82.6923076923077,0.0,17.307692307692307,82.6923076923077,0.0
