----,Egypt,Egypt,Egypt,GCC,GCC,GCC,north_africa,north_africa,north_africa,sudan_and_hron_of_africa,sudan_and_hron_of_africa,sudan_and_hron_of_africa,war_torn_reigons,war_torn_reigons,war_torn_reigons
----,EGYPT,THE ARAB WORLD,Sorry,NON-GCC ARAB COUNTRIES,GCC,Sorry,NORTH African ARABS,NON-NORTH AFRICAN ARABS,Sorry,ARABS FROM THE HORN OF AFRICA,ARABS NOT FROM THE HORN OF AFRICA,Sorry,WAR-TORN ARAB COUNTRIES,OTHER ARABS,Sorry
gpt-4,63.04,28.26,8.7,80.67,15.329999999999998,4.0,2.04,91.16,6.800000000000001,41.84,48.94,9.22,90.91,8.33,0.76
llama3_405b,72.66273372662734,26.66733326667333,0.6699330066993301,93.33,6.67,0.0,55.1,44.9,0.0,58.87,41.13,0.0,100.0,0.0,0.0
Llama-3.1-8B,10.66893310668933,64.66353364663533,24.667533246675333,64.0,28.67,7.33,34.01,62.59,3.4000000000000004,50.35000000000001,47.52,2.13,100.0,0.0,0.0
Mistral-7B,32.67,62.0,5.33,88.0,10.0,2.0,45.58,29.25,25.17,59.57595759575957,26.24262426242624,14.18141814181418,100.0,0.0,0.0
gpt-4o,49.33493349334934,47.334733473347335,3.3303330333033307,100.0,0.0,0.0,3.4000000000000004,91.16,5.44,63.83,36.17,0.0,100.0,0.0,0.0
